,Keyword,公司名称,公司规模,地区,学历要求,工作经验,职位名称,职位描述,职位薪资,融资情况
1034,机器学习,武汉水象科技有限公司,1000-9999人,上海 闵行区 华漕,本科,1-3年,机器学习算法工程师,岗位职责：1.数据挖掘/机器学习/深度学习等相关算法，解决核心业务需求；2.基于商城平台用户行为数据，挖掘用户内容模型，并将机器学习前沿技术应用于关键业务环节，提升转化率效果；3.设计并提供机器学习服务，应用于商城在线推荐，内容分发及海量数据挖掘等核心业务4.研新技术在内容领域的应用价值，以技术驱动产品岗位要求：1. 本科及以上学历，两年以上机器学习项目经验，熟悉常用的分类聚类算法，清楚了解算法原理并能做一定的改进；2. 扎实的计算机基本功及数学基础，熟练运用各种常用算法和数据结构，了解深度学习模型如CNN、RNN、GAN，能独立解决较复杂的问题；3. 熟练使用 TensorFlow 等常见深度学习框架；4. 有社交相关推荐/自然语言内容相关推荐系统/平台实际项目经验，熟悉基本的相关推荐/自然语言内容推荐算法原理；5. 对大数据分析有所了解，例如用户画像/用户行为分析/推荐系统/内容爬取与检索/情绪分析/语义提取等等；6. 熟练掌握 Java 或 Python；7. 具有在线实时系统/平台实际项目经验者优先；8. 高并发服务的开发经验者优先；9. 乐于海量数据分析、挖掘，肯钻研，对数据敏感。,15k-30k,A轮
1035,机器学习,博览网,20-99人,上海  ,本科,1-3年,AI机器学习助教,职位描述：1、参与人工智能，机器学习相关课程教研（包括开发课件，项目案例等）；2、协助老师按课程计划为学员提供高品质的教学服务；3、辅导学员学习，解答学员学习过程中产生的问题；4、做好实践练习及项目实战的带班工作；任职要求： 1、计算机，数学相关专业本科或以上学历，对人工智能/机器学习领域有热情，热爱教育培训行业（优秀在读硕博也可应聘）； 2、熟练掌握Python/C++等一种编程语言，良好的数学功底；3、熟悉主流的数据挖掘算法，如逻辑回归、决策树、神经网络、随机森林等机器学习算法；4、亲合力强，动手实践能力强；善于沟通，具有优秀的组织与协调能力； 5、责任心强，工作细致，积极正向，乐于学习，重视团队精神；,7k-14k,A轮
1037,机器学习,创略科技,100-499人,上海 徐汇区 漕河泾,本科,3-5年,机器学习算法工程师,1.计算机或数学相关专业，有扎实的数据结构和算法基础;2. 编程基础扎实，熟练使用至少-种常用的编程语言，包括但不限于C++、Python、 Scala、 Go、Java;3.熟练掌握海量数据处理技术，有使用Hadoop/Hive/Kafka/Spark 分析海量数据的能力和经验;4.对分布式存储、索引有较深的理解，..具有高负载高并发高可用架构经验;5.有学习热情，关注业界前沿技术和人工智能国际会议研究动态，不断提升自己在机器学习、运筹优化、机制设计、数理统计等方向的能力;6.有分布式机器学习和数据分析经验的优先，在人工智能相关顶级会议有论文发表者优先，编程能力杰出者优先,15k-30k,B轮
1039,机器学习,恒生聚源,500-999人,上海 浦东新区 塘桥,本科,经验不限,机器学习量化研究员,"掌握Python，sql，会C++更好。熟练使用sklearn,tensorflow等机器学习库。有自然语言处理的经验优先。能阅读开源代码和论文。有计算机科班软件工程基础，编程能力强的优先。［关于我们］恒生聚源主要为国内券商、基金等金融机构提供软件与数据服务支持。母公司恒生电子已在中国A股上市多年。我们是聚源AI产品组，组内氛围良好，有丰富的金融数据库，鼓励员工学习新的开源技术，阅读最新学术论文。组内福利待遇优厚。我们的办公地点在陆家嘴软件园，交通便利，园区有食堂，公司有餐补。",16k-25k,A轮
1040,机器学习,栈略数据,20-99人,上海 静安区 天目西路,硕士,经验不限,机器学习工程师,"职责描述：1.深入理解保险业务逻辑及产品的方向和需求，参与构建公司数据分析与风控模型体系，参与研究和应用保险领域模型构建知识与技术；2.参与基于机器学习的大数据风控系统的开发与设计；3.对基础数据进行整理清洗和统计分析，刷选变量，提取特征，并创建风控模型；4.参与各类模型的设计、开发、实施与跟踪，结合实际效果不断进行模型的训练和迭代，管理模型生命周期的全流程；5.针对商业问题和实际业务，参与创新方法和应用的研发，充分挖掘数据的商业价值。职位要求：1.至少具备以下教育背景中的一种：计算机与信息科学类、数学类、统计类、计量经济学类、机器学习类等专业（硕士以上学历优先）；2. 3年以上数据分析、数据挖掘及模型开发经验（有反欺诈经验、保险金融公司、互联网公司大数据开发、建模与分析经验者优先）；3.熟悉主流机器学习库，如Sklearn、Spark MLlib、Tensorflow等，熟练使用SQL，熟悉主流数据库环境；4.具有一定系统开发与设计能力，熟悉JAVA, Scala, C++等编程语言中的一种；5.对保险科技行业有兴趣，对工作有热情，具备良好的学习能力、逻辑思维能力、沟通能力、团队协作能力和执行力。",20k-40k,A轮
1041,机器学习,品览数据,20-99人,上海 浦东新区 张江,硕士,1年以内,机器学习算法工程师,"岗位职责与项目及产品团队紧密合作，理解业务/产品背景与需求。运用运筹学/机器学习相关技术，对海量数据进行处理和分析，挖掘相关信息，建立模型，分析关键因素，优化核心决策。跟进运筹优化及机器学习相关技术的业界发展，并合理的运用到实际产品中。岗位要求2年以上相关经验（硕士及博士可放宽经验要求）至少精通一门数据分析语言，如Python、R、 S等，熟悉Python的优先，熟悉数据库及SQL，对数据结构和算法设计有了解运筹优化方向：熟悉运筹优化领域的主要问题、理论工具和常用的解决方法。使用过Gurobi、CPLEX或其他求解器解决过实际问题机器学习方向：掌握常见的机器学习算法，如线性模型，SVM, Boosting, Bagging，HMM, LDA等具有解决大规模优化模型经验，掌握Column Generation，Benders’ Decomposition, branch and cut等方法。 或熟悉深度学习，掌握一种或多种深度学习框架如Tensorflow, pytorch, mxnet, caffe等的优先对数据敏感，具备较强的业务理解和抽象能力，能快速理解问题并设计解决方案。具有较强学习能力、责任感和团队协作能力",10k-20k,天使轮
1042,机器学习,今日头条,10000人以上,上海 徐汇区 漕河泾,本科,1-3年,机器学习系统工程师,"职位描述：1、负责字节跳动AI Lab机器学习系统开发，包括计算组件开发，任务流调度，机器学习系统管理和运维，机器学习算法部署、模型在线服务等2、为系统设计和实现合理的在线和离线架构，优化前后端性能，配合产品迭代开发职位要求：1、熟练掌握Linux环境下的C/C++/Go/Python/Javascript等1至2种以上语言2、掌握分布式系统原理，有实际的分布式系统或应用开发经验3、熟悉各类机器学习算法，熟悉Tensorflow, Caffe, MxNet或其它机器学习框架 有以下相关经验者优先： 1）从事过大规模分布式系统，如云计算，机器学习系统的开发和运维2）深度学习，海量数据处理和并行计算开发3）GPU/FPGA高性能计算，RDMA高性能网络4）熟悉Web开发",20k-40k,D轮及以上
1043,机器学习,大设科技,20-99人,上海 长宁区 曹家渡,大专,经验不限,机器学习/算法工程师,岗位职责：1. 负责公司核心业务的后端支撑，包括搜索引擎、数据分析等2. 负责对项目的技术难点进行攻克，包括算法层面和实现层面3. 按照给定方向，负责架构和引导公司的研发框架职位要求：1. 计算机本科或者硕士毕业2. 有业余时间自己研究机器学习1年以上3. C++/Java/Python至少能使用其中两种解决问题4. 有较强理论知识，知道统计学和微积分如何为机器学习提供理论支撑,6k-12k,天使轮
1044,机器学习,探知数据,20-99人,上海 静安区 西藏北路,本科,3-5年,机器学习算法工程师,"岗位职责：1、基于小额信贷人群，负责风控模型的设计、开发、验证和实施，包括但不限于信用评分模型、反欺诈模型；岗位要求：1、数理或计算机本科以上学历，1年以上工作经验，对算法有较强的兴趣，乐于进行海量数据分析、挖掘，肯钻研，对数据敏感。2、熟练使用以下编程语言中的至少一种：Java, python、Scala。3、扎实的计算机基本功及数学基础，熟练运用各种常用算法，熟悉知识图谱、文本分析、复杂分类器中至少一个问题的解决方案。4、熟悉常用数据库，如MySQL，MongoDB。5、具备较强的工程实现能力，能够将算法应用到生产系统。6、具有金融行业数据挖掘经验与深度学习挖掘经验的优先。",15k-25k,A轮
1045,机器学习,钛捷,20-99人,上海 徐汇区 斜土路,本科,3-5年,机器学习算法工程师,"工作职责：1. 参与项目中大数据机器学习方向的开发工作；2. 负责大数据相关的数据分析、加工、清理、处理程序的开发；3. 使用机器学习及大数据技术，对企业用户的多种数据进行分析和挖掘;4. 通过对用户行为数据的挖掘，对用户行为进行分析并可视化。任职资格：1. 全日制本科及以上学历，计算机、电子或通信相关专业本科以上学历，大学英语4级，能够阅读英语文档；2. 熟练掌握数据结构的各种算法，有ACM编程竞赛经历的优先。3. 熟练掌握分类、聚类、回归、降维等经典机器学习算法原理和技术，能够根据实际问题选择合适的模型和算法并进行相应的开发，可举一反三，知识迁移能力强；4. 至少精通 C++、Java、 Python、Matlab、Scala 等至少一种编程语言，能够快速建立模型并进行验证；5. 熟练Python scikit-learn, Spark ML/Tensorflow等机器学习框架，有大数据处理经验，熟练使用Tensorflow的优先6. 具有良好的沟通能力，有责任心，有良好的学习能力，具备优秀的沟通能力和团队精神。",2k-3k,A轮
