,Keyword,公司名称,公司规模,地区,学历要求,工作经验,职位名称,职位描述,职位薪资,融资情况
377,数据挖掘,RTBAsia,20-99人,上海 杨浦区 五角场,硕士,经验不限,数据挖掘工程师,- 对数字广告行业有兴趣或具备相关从业经验- 是非观念原则清晰- 理工科硕士或博士学位- 热爱计算机相关技术研究，热爱大数据- 数学基础扎实，思维缜密- 熟悉数据挖掘技术和相关算法- 有一定Java开发经验,20k-30k,未融资
378,数据挖掘,拓链,100-499人,上海 长宁区 中山公园,本科,经验不限,数据挖掘工程师,"​【岗位描述】1.  针对目标业务需求，通过市场数据调研,  对相关数据进行抽取、清洗、校验、分析处理，将需求转化为可执行的业务方案、产品。2.  使用机器学习方法，针对海量数据进行数据挖掘、建模，设计实验方案，沟通验证实验效果，优化机器学习模型。3. 指导团队爬取各种相关数据，维持爬虫稳定性和可维护性，提高爬虫作业的效率问题。 【任职要求】1. 计算机相关专业本科及以上学历，熟悉linux基本操作2. 精通爬虫技术，可以应付各种复杂的数据抓取环境3. 熟悉Python, Java，Shell, Scala 等常用编程语言中至少一种，有良好的代码习惯4. 熟悉Hadoop、Spark、Hive 等大数据处理技术5. 熟悉常用的数据结构和算法，熟悉常用机器学习算法6. 思维敏捷，良好的逻辑分析能力、良好的沟通及组织能力7. 有知识图谱经验优先",20k-35k,A轮
379,数据挖掘,众标科技,20-99人,上海 宝山区 长江西路,本科,1-3年,数据挖掘工程师,职位描述1. 负责数据清洗、处理和挖掘分析，为研究咨询报告 和 产品数据底层提供数据支撑2. 参与文本挖掘类分析算法设计和开发，协助提升已有分析模型和数据处理算法精度3. 参与客户需求分析，理解业务场景和目标，构建合适的数据挖掘和分析模型职位要求1. 计算机及相关专业本科学历，1年以上相关工作经验2. 熟悉 MySQL 或 PostgreSQL 数据库，熟悉 SQL 语法3. 熟悉 Python 语言，了解正则表达式，有自然语言处理和文本挖掘经验者优先4. 有强烈的主人翁意识和责任感，工作耐心细致；良好的数据敏感度、逻辑分析及问题解决能力；良好的沟通能力和团队精神，快速学习能力。,8k-15k,A轮
380,数据挖掘,今日头条,10000人以上,上海 徐汇区 漕河泾,本科,3-5年,数据挖掘高级工程师,职位描述：1、基于每日百亿级展现数据，搭建大数据处理平台;实现流式事件的实时计算，落地储存。对于离线数据完成数据仓库的建立，为数据挖掘提供有效的数据； 2、使用用户行为数据，广告投放数据，挖掘数据层次关系，分析媒体.流量.广告主等数据来提高变现效率；3、数据分析，挖掘，模型具体的产品化；了解广告业务，能和PM合作，基于数据驱动持续优化数据产品。4、业务分析、技术把关与人才选拔职位要求：1、熟悉C++、JAVA、python中的一种或多种编程技术，编程能力强，熟悉大数据处理技术，善于学习应用业界领先数据架构和技术；2、对大数据开源组件有使用经验，对hadoop/hive/spark/ES/druid 其中一项精通；3、熟悉数据挖掘算法，包括数据清洗.统计学习.分类聚类算法，并能够验证算法效果，将算法应用在广告业务中； 4、善于学习，思维活跃，善于从数据中发现.思考并解决问题；5、有广告研发经验者优先，对广告行业有自己思考的优先。,30k-60k,D轮及以上
381,数据挖掘,腾讯,10000人以上,上海 徐汇区 漕宝路,硕士,1-3年,高级数据挖掘工程师(上海),"岗位职责：	负责相关业务的数据分析洞察，构建健全的指标体系及强大的数据支撑体系，以支撑业务快速迭代； 通过专题分析等形式，对业务问题进行深入分析，为产品运营决策、产品方向、推送策略及时提供数据支持； 基于业务监控指标体系，及时发现与定位业务问题，协同其他相关侧落实问题的解决； 沉淀分析思路与经验， 提炼出数据产品或服务需求，与数据产品团队协作并推动数据产品的落地； 协同其他相关团队进行数据建模工作，推动相关产品的数据化运营；  积极组织数据技术与产品相关的理念、技能、工具的培训和推广。岗位要求：	全日制硕士研究生及以上学历, 具有统计、数学、计算机、信息技术、生物统计等理工科专业背景，有敏锐的数据和商业Sense，热爱大数据分析工作者优先； 具有很强的数据分析和挖掘的能力，熟练掌握常规分析工具，如SQL、Python、R、Matlab、SPSS、Excel。精通机器学习，熟练掌握常规的分类、回归、时序算法，有深度学习相关经验者优先； 视野开阔，思路清晰，逻辑缜密，能够及时洞察和分析业务发展中隐含的变化和问题，同时独立编写商业数据分析报告，具有良好的沟通、协调及表达能力者优先； 深刻理解数据仓库理论知识，熟练掌握常规的数据清洗，转换，维度建模方法，对粒度管理和元数据管理有深刻认识。熟悉常用的数据库系统，包括：Oracle、 Mysql、 PostgreSql、 GreenPlum、 MongoDB，Hbase，Redis等， 具有3年以上的数据仓库和数据治理相关经验； 了解主流大数据平台及处理引擎，包括但不限于Hadoop、Hive、Tez、Presto、Spark、Kafka、Storm、Driud、Flink、Lucene、ElasticSearch等，有先关使用经验者优先； 具备实时计算与离线计算基本的技能,不限于技术选型(spark hadoop等)； 熟悉C/C++开发 ，对linux系统有一定的了解； 熟悉互联网行业、有独立设计和开发能力、有良好的责任心和团队合作精神、善于沟通、工作上能自主驱动； 有数据挖掘经验加分。",15k-30k,已上市
382,数据挖掘,车300,100-499人,上海 黄浦区 人民广场,本科,1-3年,数据挖掘（社交网络）,base：南京市鼓楼区古平岗4号岗位职责：1、负责用户社交网络数据的挖掘与分析；2、整合外部数据，构建反欺诈/评分模型的基础数据；3、从海量数据中提取关键信息，挖掘有效特征，并与数据分析师对数据结果进行探讨验证；4、负责搭建挖掘模型、机器学习算法的具体实现；5、参与开发信用模型，反欺诈模型，包括社交网络分析、文本数据挖掘等。任职要求：1、本科及以上学历，须为统计学、计量经济学、数学、计算机专业；2、有数据挖掘相关工作经验优先，主导或者参与过社交网络分析与建模；3、熟练掌握SQL、R、Python以及相关进行分析的工具，了解Hadoop/Spark/Cosmos/ODPS等大数据分布式平台；4、具备团队合作精神，较好的抗压能力；5、对数据敏感，对数据背后的逻辑及场景有高昂的好奇心。,10k-20k,C轮
383,数据挖掘,橙鹰,100-499人,上海 闵行区 华漕,硕士,3-5年,资深数据挖掘工程师,职位描述：根据公安行业、客户的实际情况，深入挖掘业务需求，通过智能模型建设高效解决用户问题，不断产生客户价值。1.	通过算法模型，对公安各种业务风险进行预测、预警、分类、聚类；2.	与公安部门沟通合作，将数据与算法结合，应用到业务中去；3.	负责业务数据价值分析，发现业务风险；职位要求：1. 统计学、计算机科学、数学等相关专业，硕士以上优先；2. 具有丰富的数据建模实践经验，3年以上数据挖掘、文本挖掘、图像识别相关经验，精通其中一两个领域；3. 熟练掌握Hive/SQL，拥有海量数据处理经验； 4. 熟练使用Python/R语言等其中一种语言优先； 5. 具有良好的商业敏感度和优秀的数据分析技能，能够开发创新而实际的分析方法以解决复杂的商业问题。6、为人正直，梦想驱动；乐于面对挑战，皮实，自我调整能力强；善于思考，具备钻研精神。,22k-36k,不需要融资
384,数据挖掘,深圳萨摩耶金服,100-499人,上海 浦东新区 北蔡,本科,3-5年,资深数据挖掘与模型,岗位职责：1.负责独立或带领团队进行客户画像；2.负责独立或带领团队应用统计建模、数据挖掘、机器学习等方法，建立高质量模型并持续优化；3.负责在项目推进过程中的跨部门协调沟通工作，推动数据产品的落地应用，产生实际业务价值；4.负责设计公司业务关键流程监控点，针对日常监控中发现的异常及时调整监控布局。岗位要求：1.本科及以上学历；2.金融、计算机、统计、应用数学、经济、生物、物理、电子等相关专业，或相关岗位从业2年以上（2017：3年以上）；3.具有建模实操经验，有一定带领团队经验，有推动相关项目经验；4.精通SQL和OFFICE，并有一定计算机基础，有Java、Python、R、matlab、spark ML中任一语言编程经历；5.机器学习或数据挖掘专业背景优先，拥有海量数据处理经验者优先，对有丰富Python应用经验者优先。6.工作地点：上海,18k-30k,C轮
385,数据挖掘,浙江新再灵,100-499人,上海 杨浦区 复旦大学,硕士,3-5年,高级数据挖掘工程师,任职要求：一、学历、经验要求：1、五年以上工作经验，三年以上相关工作经验，硕士及以上学历，计算机、电子通信、数学等相关专业。技能要求：1.	具备查阅研读相关中英文论文的能力；2.	能熟练使用C++、JAVA中至少一种，能熟练使用R，Python，Matlab至少一种；3.	有Hadoop、Hbase、hive等数据库开发经验；4.	能熟练使用python爬虫技术；5.	能独立完成广告推荐系统的设计；6.	具备一定的项目管理能力，具有业务落地推动经验。,25k-35k,D轮及以上
386,数据挖掘,京东金融,10000人以上,上海 浦东新区 陆家嘴,本科,3-5年,数据挖掘,岗位描述：1. 参与大规模数据快速查询系统的架构设计和开发；2. 大规模数据挖掘和机器学习算法的实现和维护；3. 在线和离线海量数据分析平台的开发；岗位要求：1. 具有1年以上大数据开发经验，至少熟悉一种编程语言（Python/Java/Scala）；2. 熟悉Hadoop等分布式系统开发，数据仓库技术；3. 熟悉HDFS/HBase/Hive/MapReduce，掌握Mapreduce程序开发；4. 熟悉分布式系统概念、架构，有大规模分布式系统设计、实现、部署等经验；5. 有较强的书面与口头沟通表达能力，独立分析、解决问题的能力。6、具有风控、安全相关经验优先考虑；,15k-25k,不需要融资
387,数据挖掘,玖数软件,20-99人,上海 普陀区 金沙江路,本科,1-3年,数据挖掘工程师,"职位描述1. 根据项目经理或高级数据挖掘工程师要求独立完成项目的数据搜集和数据处理；2. 能够快速根据项目需要学习并理解行业知识，并能在项目经理或高级数据挖掘工程指导下完成部分数据分析工作；3. 能够使用SAS,SPSS,或R,Python等开源平台根据用户需求定制开发相应的算法；4. 理解数据挖掘模型及预测分析结果，撰写相关分析报告；5. 了解数据仓库及商务智能背景，熟练掌握一类数据展现分析工具，如：Tableau，Cognos等；任职要求1. 信息化管理、数学或统计学专业背景本科以上学历；2. 具有一定的统计学、数据挖掘知识基础，有数据仓库/商业智能项目经验尤佳；3. 精通数据挖掘方法论，熟悉数据挖掘项目过程；4. 熟悉并掌握SAS、SPSS统计分析或数据挖掘工具至少一种； 或具备Python，R等使用开源平台开发算法的经验；5. 有很强的事业心、责任感，良好敬业精神、团队精神与人际沟通能力。",8k-9k,未融资
