,Keyword,公司名称,公司规模,地区,学历要求,工作经验,职位名称,职位描述,职位薪资,融资情况
23,数据分析,北京星纪元科技有...,10000人以上,上海 浦东新区 陆家嘴,本科,1-3年,BI数据分析,1、熟悉投资业务，有数据画像工作经验优先；• 2、熟悉主流分析算法如：聚类，分类，回归，文本处理等；有自然语言处理经验优先；             • 4、熟悉Mongodb或hadoop等数据库，有金融大数据开发经验优先；• 5、熟练使用Python语言进行数据分析，或是R，Scala语言；• 6、熟悉软件技术文档的编写，具备良好的文档编制习惯和规范的代码书写；• 7、热爱技术工作，具有较强的团队协作意识，高度的责任感，对工作积极严谨，勇于承担责任。• 8、有较强的学习和理解能力，思路清晰，善于思考，能独立分析和解决问题。,8k-12k,不需要融资
24,数据分析,携程旅行网,10000人以上,上海 长宁区 北新泾,本科,3-5年,数据分析师,"职位描述1.	行业和竞争监控：根据业务需求，识别、搜集、整理各类外部信息，并结合内部相关信息/数据形成可内外部关联的竞争监控体系；在监控体系的基础上，形成对业务有价值并可落地的洞察结论。2.	指标体系构建：构建全面的、准确的、能反映服务业务线特征的整体指标体系, 并基于业务监控指标体系，及时发现与定位业务问题3.	专题分析：基于对业务战略的理解，从市场、行业、竞争、内部数据等内外部资源对业务问题进行深入分析，为公司运营决策、产品方向、内容策略提供数据支持4.	建立并持续优化分析方法论：沉淀分析思路与框架，提炼数据产品需求，推动数据产品的落地和业务数据化运营理念的传播。岗位要求：1.	3年以上市场研究、咨询公司、投行分析师或数据分析相关工作经验，有产品分析，OTA相关行业工作经验优先2.	专业能力：a)	具备良好的商业敏感度，能快速熟悉业务并准确判断业务症结点b)	熟悉各种外部信息搜集渠道，能系统全面地解析新兴行业/竞争对手，能够快速形成与业务需求匹配的分析方法c)	具备较强的逻辑分析能力，能够独立撰写各种商业数据分析报告，发现和分析业务中隐含的商业变化和问题d)	良好的数据分析能力，熟练使用数据分析软件，会使用SQL，并能用简洁清晰的方式呈现商业逻辑和洞察，最好具备一定的算法基础3.	具备较好主观能动性和执行力，乐于通过自我驱动拿到结果4.	具有强团队合作精神和抗压能力，有大型跨团队工作经验优先",15k-30k,已上市
25,数据分析,遨游酒店信息技术公司,1000-9999人,上海 徐汇区 淮海路,本科,3-5年,数据分析经理,岗位职责：1. 撰写商业数据分析报告，为市场活动提供数据洞察，牵引业务改进2. 参与数据报表系统搭建，解读商业数据，支持业务决策3. 与相关团队（市场、运营、技术）协作，进行需求调研、商业数据分析和数据挖掘工作，带领团队推动数据产品的落地和快速迭代4. 负责数据分析团队的日常管理、目标制定和绩效考核任职资格：1. 统计学、数学、计算机科学等相关专业，3年以上相关工作经验2. 精通Tableau报表开发，熟悉数据分析工具（SAS/R/Python）3. 精通Oracle/Mysql/Sqlserver等至少一种关系型数据库4. 良好的数据敏感度，能从商业数据和用户行为数据中提炼数据洞察，解决实际问题；熟练独立撰写商业数据分析报告，能高效的与各团队进行沟通5. 熟悉用户生命周期中的各项数据指标，对复杂业务逻辑有系统性理解、梳理、实施解决方案的能力6. 熟悉用户画像、渠道评分、聚类、关联分析、回归、决策树、随机森林等数据挖掘算法的一种或几种，且有实际操作经验者，优先考虑7. 工作细致认真，良好的沟通理解能力，有责任心,30k-40k,D轮及以上
26,数据分析,博荟实业,20-99人,上海 杨浦区 五角场,学历不限,经验不限,数据分析,岗位职责：1、在网站数据和营销传播两个方向上提供多维数据分析服务，并根据数据分析结果提出业务策略建议；2、负责使用网站分析工具，对全站的流量进行统计、分析和监控，分析流量的来源、关键词、访问深度，停留时间等维度，能得出相应的逻辑给出指导意见3、 对已经形成订单的客户和订单管理系统中收集来的数据做整理，按照相应的逻辑进行分类，并配合其他市场人员进行营销和推广；  对各个推广平台的数据进行整理，统一优化整个系统的数据资源配合进行全渠道营销。 4、配合董事长，参与每月课件ppt的制作。在数据方面具有一定咨询师的能力。任职资格：1.本科及以上学历，统计、数学、计算机相关专业优先。2.一年以上数据分析经验，有良好的逻辑思维能力和商业判断能力，沟通能力强，能排除困难推动工作的进展。3.sql使用经验丰富，熟练excel、Quickoffice等统计软件。,6k-10k,不需要融资
28,数据分析,哈啰出行,1000-9999人,上海 闵行区 莘庄,本科,5-10年,数据分析经理,岗位职责：1、基于哈罗体系海量数据，利用算法挖掘数据内在的模式和特征，发现潜在规律，建立数据挖掘算法并优化；2、负责将算法与海量的实际业务数据结合，并持续维护算法的有效性；3、基于挖掘结果总结有价值信息，为业务决策、管理等提供数据支持；4、支持数据分析师团队的数据模型工作。任职资格：1、计算机、统计学、数学、数理统计等相关专业，本科及以上学历，3年以上相关工作经验； 2、熟练掌握一种编程语言R，C/C++、java、python、perl等； 3、熟悉Hadoop等至少一个分布式框架，了解MapReduce基本原理，具备分布式平台处理海量数据的项目经验；4、对统计学和数据挖掘算法原理有较为深刻的理解，熟悉决策树、聚类、逻辑回归，关联分析、SVM，贝叶斯等数据挖掘算法优先；5、有用户行为分析、用户建模、业务建模、数学建模经验优先；6、良好的逻辑分析能力、分析问题和解决问题的能力，对数据敏感，自我学习驱动能力强，较强责任心；7、具备良好的团队协作意识、时间意识、沟通能力，能够承担工作压力。,30k-50k,D轮及以上
29,数据分析,卡行天下,1000-9999人,上海  ,本科,1-3年,数据分析师,职位描述：1、负责项目的需求调研，剖析业务需求，利用数据挖掘等工具对数据源进行数据整合；2、建立模型并优化，整理编写数据分析报告，及时发现和分析其中变化和问题，为公司运营决策等方面提供数据支持；2、参与数据挖掘模型的构建、检验、评估；通过对数据进行分析挖掘背后隐含的规律及对未来的预测，擅于发现业绩增长点；3、管理和优化数据分析模块的相关工作，建立数据监控看板，形成数据异常预警机制，提升数据自动化运营水平。任职要求：1、统计学、数学或计算机等相关专业本科或以上学历；有扎实的数据统计和数据挖掘专业知识；2、熟练使用Python、R、Tableau等数据科学工具，能熟练使用SQL查询数据；3、三年以上数据分析工作经验，使用过 逻辑回归、决策树、聚类 等建模方法；拥有一定的分析挖掘项目经验；4、主动性强，有较强的责任心、团队协作精神和钻研能力。,10k-20k,D轮及以上
30,数据分析,微盟,1000-9999人,上海 宝山区 淞南,本科,1-3年,数据分析师,岗位职责：1.根据业务需求，调研市场，开拓渠道，合理进行数据采集2.线索常规监控分析，结合业务实际，评估效果并给出合理策略建议3.评估当前区域资源使用全流程的有效性，优化全流程，如采集线索方向、分配合理性、使用有效性等，提出改进方案；4.根据现有数据与市场调研，总体了解市场客户规模与可开发规模，指导采集方向、资源支持及相关部门运营方案调整；5.利用数据挖掘技术分析、预测用户的行为，发现用户的特征，对老用户及潜在目标用户行为进行分析、建模，找到目标人群，验证效果，持续优化模型；6.上级安排的其它事项。,8k-16k,D轮及以上
31,数据分析,丽人丽妆,1000-9999人,上海 徐汇区 交大,大专,1-3年,数据分析主管（CRM）,"职责描述：1、根据公司发展策略, 协助制定数据管理和分析体系；2、利用数据分析工具，对CRM数据进行数据挖掘，分析数据，提供分析报告，为公司运营决策、产品方向等提供优化建议的报表和报告；3、负责数据监测，定期提供各种数据分析；4、对营销活动的数据表现进行检测分析；5、指导店铺运营经理, 利用相关数据制定管理目标；6、数据库日常维护,与IT、第三方供应商一起，根据品牌的拓展计划，协调数据流程及系统优化。任职资格:1、大专以上学历，统计学及相关专业；2、有3年以上的数据分析经验和一定的IT知识；3、对数据敏感，具有很强的数据处理和逻辑分析能力，且具有良好的学习能力、理解能力。",12k-18k,B轮
32,数据分析,礼高商贸,20-99人,上海 闵行区 程家桥,本科,3-5年,数据分析,工作职责:1.负责业务数据收集整理，对多种数据源的进行深度诊断性组合分析、挖掘、深度分析和建模；2.为公司运营决策、产品方向、销售策略、媒体投放策略提供数据支持；3.参与、组织客户调研，定期提供数据分析报告，并与相关同事沟通并推进以上结果；4.负责数据分析产品的设计、开发进度控制，辅助推进公司CRM系统建设；5.跟进产品的分析需求，撰写业务分析报告，结合数据趋势提出产品阶段性优化建议；6.不断创新和改善已有的异常数据监控方式，为产品运营提供可靠的数据支持；7.定期编制统计报表及分析简报。任职资格:教育背景:大学本科以上学历，统计学、市场营销、电子商务或数学相关专业毕业。培训经历:数据分析、数据建模、信息管理、项目管理等方面的培训。经 验:三年以上数据分析相关工作经验或数据研究经验。,8k-10k,天使轮
33,数据分析,威马,1000-9999人,上海 青浦区 ,本科,1-3年,数据分析师,1，负责业务数据的统计、分析、预测等；2，针对部门业务，进行深入的专题分析研究 ；3，发现业务中的亮点和问题，提供相关数据分析以及结果报告；4，通过数据挖掘与分析，分析营销和运营相关业务数据，提供决策支持和业务洞察；职位要求： 1，2~3年数据分析、数据挖掘工作经验；2，掌握SAS/SPSS/R/Python等专业统计分析软件的一种或几种； 3，具有扎实的统计学知识，熟悉数据采集、整理、分析和建模的方法和流程；4，具备良好的逻辑分析能力、组织沟通和团队精神；5，数学、统计学、计算机等相关专业优先；,20k-40k,B轮
